"ID","FOOD_A","FOOD_B","DESCRIPTION","SEARCH_CNT"
207,"넙치","아욱","아욱이 넙치에 부족한 성분을 보완해줄 수도 있으며 비린내를 없애는 작용도 한다.",0
208,"다시마","마늘","다시마는 마늘을 먹은 후 나는 냄새를 없애주는 역할을 한다.",0
209,"다시마","찹쌀","다시마와 찹쌀을 같은 양씩 가루 내어 알을 만든 후 적당량 복용하면 비만과 고질적인 변비 해소에도 효과적이다.",0
210,"다시마","토란","다시마가 토란의 유해성분과 떫은맛을 제거해주고 부드럽게 만들어준다.",0
211,"다시마","검은콩","다시마는 동맥경화를 예방하는 효과가 있는데 이러한 다시마에 콜레스테롤 혈전 개선에 효과가 있는 검은콩을 함께 먹으면 고혈압 당뇨병 비만 등을 예방할 수 있다.",0
212,"달팽이","버터","맛이 어우러진다.",0
213,"달팽이","소금","소금물로 달팽이를 세척하면 좋다.",0
214,"달팽이","백포도주","달팽이요리를 소화시키는 데 효과가 있다.",0
215,"대구포","들기름","맛이 좋아지고 대구에 들어 있는 영양 성분을 더 효과적으로 흡수시킬 수 있다.",0
216,"대구","마늘","비린내를 없애준다.",0
217,"대구","생강","비린내를 없애준다.",0
218,"대구","쌀","노약자나 허약자의 보양식으로도 뛰어나다.",0
219,"대구","석류껍질","구충제로도 효과가 있다.",0
220,"메기","참깨","맛이 좋고 어류의 중독을 방지해준다.",0
221,"메기","머위","머위에는 해독작용이 있어 생선을 요리할 때 함께 넣으면 식중독을 미리 막을 수 있다.",0
222,"멸치","된장","일명 화병으로 열기가 달아오르거나 입에서 단내가 나는 등 가슴에서 열불이 나고 손발이 화끈거리는 증상들을 가라앉힐 수 있다.",0
223,"멸치","피망","칼슘이 풍부해 어린이나 임산부에게 좋다. 피망의 비타민 P는 비타민 C의 파괴를 막아주며 비타민 D는 칼슘 흡수를 촉진해 주는 역할을 합니다. ",0
224,"멸치","쌀","멸칫국물에 불린 쌀과 함께 넣어 죽을 쒀 먹으면 습관 유산을 막을 만큼 효과가 크며 임신 중 정서불안 해소에도 효과가 있다.",0
225,"멸치","우유","칼슘보급원에 좋다.",0
226,"멸치","미역","산후 어혈을 풀어주고 산후 뼈마디가 쑤시는 데 좋으며 모유 분비도 잘 되게 해준다.",0
227,"멸치","식초","멸치의 비린내를 없애 준다.",0
228,"멸치","잣","빈혈과 고혈압 호흡기에도 좋은 식품이자 임산부와 태아를 편안하게 한다.",0
229,"북어","밀가루","양념 맛이 겉돌지 않는다.",0
230,"북어","쌀뜨물","쌀뜨물의 콜로이드상 물질이 떫은맛을 흡착하며 북어의 맛있는 성분이 흘러나오는 것을 막아 준다.",0
231,"북어","콩나물","숙취 해소에 좋다.",0
232,"명란","새우젓","맛 상승 효과가 있다.",0
233,"문어","생강","보혈작용이 향상된다.",0
234,"문어","식초","보혈작용이 향상된다.",0
235,"문어","무","육질이 부드러워지면서 소화도 잘되는 효과가 있다.",0
236,"미꾸라지","우엉","함께 먹으면 강장 효과가 상승한다.",0
237,"미꾸라지","산초","미꾸라지의 비린내를 제거한다. 눈이 피로하고 눈꺼풀이 떨리는 증세가 있을 때 효과가 있다.",0
238,"미꾸라지","양파","미꾸라지와 양파와 함께 먹으면 부신피질 호르몬이 활성화하기 때문에 좋은 강장 요리가 된다.",0
239,"미꾸라지","구기자","혈관 벽도 튼튼하게 해주며 혈액순환도 원활하게 해주는 효능이 있다.",0
240,"미꾸라지","연잎","성신경쇠약증에 좋다.",0
241,"미꾸라지","설탕","정력에 좋다.",0
242,"미역","버섯","미역은 버섯 중독을 해독시킨다.",0
243,"미역","육류","산도를 중화해 소화 흡수가 잘 된다.",0
244,"미역","오이","열을 떨어 뜨리는 효과가 있다.",0
245,"미역","콩","콩 제품을 먹으면 요오드가 배출되며 요오드 부족을 미역이 채워준다.",0
246,"미역","두부","콩 제품을 먹으면 요오드가 배출되며 요오드 부족을 미역이 채워준다.",0
247,"미역","참기름","미역 요리를 할 때 참기름을 사용하면 미역에 들어있는 요오드 및 각종 영양 성분의 흡수율이 훨씬 높아지게 된다.",0
248,"미역","식초","식초가 미역에 함유된 칼슘의 체내 흡수를 촉진하여 더위와 갈증을 풀어주고 스트레스를 완화해주는 역할을 한다.",0
249,"민어","쑥","여성의 냉증 월경불순 불임증에 좋다.",0
250,"병어","귤껍질","비위허약으로 소화가 안 될 때 효과가 있다.",0
251,"병어","당귀","근육과 뼈가 아프고 사지가 마비된 데 효능이 있다.",0
252,"붕어","차조","속이 냉해서 생긴 설사 치료에 좋다.",0
253,"붕어","파","속이 냉해서 생긴 설사 치료에 좋다.",0
254,"붕어","당귀","산후 부종에 좋고 특히 체력 보강과 빈혈 치료에 도움이 된다.",0
255,"붕어","구기자","산후 부종에 좋고 특히 체력 보강과 빈혈 치료에 도움이 된다.",0
256,"붕어","머위","붕어의 비위기능 보강작용이 상승한다. 머위가 또한 식중독을 예방한다",0
257,"붕어","팥","각종 부종이 빨리 가라앉는다.",0
258,"붕어","찻잎","당뇨병에 좋다.",0
259,"붕어","무","기침과 가래 피 섞인 가래가 나오는 증상 개선에도 효과가 있다.",0
260,"새우","생강","새우의 알레르기 반응을 예방하는 효과가 있다.",0
261,"새우","무","새우의 알레르기 반응을 예방하는 효과가 있",0
262,"새우","아욱","아욱이 새우에 부족한 비타민 A와 비타민 C를 채워주며 새우가 아욱에 부족한 필수 아미노산을 채워준다.",0
263,"새우","파","중풍을 예방한다. 순환이 잘 되지 못하고 뭉친 피의 응어리를 풀어준다.",0
264,"새우","닭고기","새우가 닭고기의 소화를 돕는다.",0
265,"새우","치자","새우 껍질과 치자열매 말린 것을 함께 가루 낸 것은 위궤양 치료제로 유명하다.",0
266,"숭어","매실","위액분비를 촉진하고 식욕 증진에도 도움이 됩니다. 또한 매실이 숭어의 효능도 높여준다.",0
267,"숭어","파슬리","파슬리는 생선 독을 해독시켜주고 파슬리 향이 위장에 적당한 자극을 주어 소화를 도와주고 식욕을 돋워주므로 숭어의 효능을 더해주는 역할을 한다.",0
268,"숭어","머위","숭어와 머위를 함께 먹으면 식중독을 미리 막을 수 있고 입맛을 돋우고 위액이 잘 분비되도록 돕기 때문에 소화기 기능을 좋게 해주는 숭어의 효능을 더해준다.",0
269,"연어","버터","위장이 따뜻해 지고 냉증을 없앨 수 있다.",0
270,"오징어","피망","피망의 비타민을 보충할 수 있으며 오징어의 혈액 보충작용을 피망의 풍부한 철분이 강화해준다.",0
271,"오징어","땅콩","혈중 콜레스테롤 수치를 저하시켜준다.",0
272,"오징어","셀러리","셀러리의 비타민을 보충할 수 있으며 오징어의 혈액 보충작용을 셀러리의 풍부한 철분이 강화해준다.",0
273,"오징어","양배추","다이어트에 효과가 있다. 양배추의 비타민 C가 오징어의 비타민 E 섭취를 좋게 하고 오징어로 위산이 과다해지는 것을 양배추의 비타민 U가 억제해준다.",0
274,"오징어","파슬리","오징어가 혈액을 보충하여 빈혈에 좋으며 파슬리도 철분이 풍부해 빈혈에 효과적이다. 오징어의 산성을 파슬리의 알칼리가 중화해준다.",0
275,"오징어","냉이","정력 증강에 좋다. 간에도 좋으며 혈압안정에도 도움을 준다.",0
276,"오징어","마늘","생리불순 생리통을 개선한다.",0
277,"오징어","마요네즈","소화가 잘된다.",0
278,"잉어","팥","아미노산 상승효과가 생기며 콜레스테롤 저하 효과가 있다.",0
279,"잉어","닭","아미노산 상승효과가 생기며 콜레스테롤 저하 효과가 있다.",0
280,"잉어","인삼","기력 상승에 좋다.",0
281,"잉어","유자","복부 수술 후 기력회복에 좋다.",0
282,"잉어","된장","잉어 머리에 된장을 넣어서 졸여 먹으면 신경을 정상으로 안정시켜준다. 스트레스 해소에 효과가 있다.",0
283,"장어","부추","신장을 보호하고 허약체질을 튼튼하게 만들어 준다.",0
284,"장어","생강","생강의 독특한 향미성분은 장어 특유의 냄새와 맛을 줄여 주고 장어의 소화 흡수를 촉진시킨다.",0
285,"장어","두충","풍습마비에 좋다.",0
286,"장어","마","만성허약증에 좋다.",0
287,"장어","맥문동","만성허약증에 좋다.",0
288,"전복","쇠고기(소고기)","자양강장 효능이 있다. 식욕을 돋워준다.",0
289,"전복","새우","새우와 전복을 함께 먹으면 간의 기능이 좋아지고 신장을 강화해 양기를 왕성하게 하는 효과가 있다.",0
290,"전복","우유","우유가 전복을 부드럽게 하고 전복에 부족한 필수 아미노산을 보완한다.",0
291,"전복","잣","스태미나가 증진된다.",0
292,"전복","냉이","눈이 맑아진다.",0
293,"전복","참깨","혈중 콜레스테롤을 떨어뜨리며 동맥경화 예방에 도움을 준다.",0
294,"전복","마늘","비타민 흡수력이 증가하며 신진대사가 원활해지고 특히 호흡기질환에 효과적이다. 가래에 좋다.",0
295,"전복","치자","소위 화병으로 눈이 충혈되고 아프며 뻑뻑한데 도움이 된다.",0
296,"청어","부추","심장이 약한 중년층에 좋다.",0
297,"청어","마늘","뇌의 노화를 예방한다. 항암효과가 있다.",0
298,"해삼","인삼","소화력이 좋아지고 장도 윤택해지면서 정력도 증진하게 된다.",0
299,"해삼","닭","노인병 예방을 한다. 소화 흡수가 잘 된다.",0
300,"해삼","죽순","입덧을 가라앉힌다.",0
301,"해파리","토란","비만형 고혈압 환자에게 효과적이다.",0
302,"해파리","무","비만형 고혈압 환자에게 좋다.",0
303,"해파리","돼지콩팥","비만형 요통 환자에게 좋다.",0
304,"해파리","두충","비만형 요통 환자에게 좋다.",0
305,"해파리","설탕","가래를 삭이는 효과가 있다. 위장보호에 좋다.",0
306,"해파리","참기름","입맛이 살아나고 만성 소화불량에도 효능이 있다.",0
307,"해파리","어류","생선에 중독되었을 때 해파리를 삶은 물을 마시면 효과가 있다.",0
308,"홍합","바지락","둘의 조혈 성분이 상승작용을 하면서 재생불량성 빈혈에 좋다.",0
309,"홍합","무청","빈혈치료에 좋다.",0
310,"홍합","육류","어린이 발육에 도움이 되므로 허약하고 성장이 더디며 빈혈이 있는 어린이에게 좋다.",0
311,"간","레몬","간 특유의 냄새를 없애준다.",0
312,"간","우유","영양의 손실이 없는데다 나쁜냄새와 맛의 제거효과가 크다.",0
313,"간","청주","영양 성분을 보충한다.",0
314,"간","매실","영양 성분을 보충한다.",0
315,"간","식초","허약 체질 또는 만성 설사에 좋다.",0
316,"닭고기","인삼","스테미나를 상승시켜준다.더위로 인해 스트레스를 받으면 몸 안에서 단백질 소모가 많아지는데 양질의 단백질이 있는 닭고기가 이를 보충해주고 인삼이 기운을 내주어 여름철 더위 나기에 딱이다.",0
317,"삼계탕","황기","다한증을 개선한다.",0
318,"삼계탕","당귀","조루증, 발기부전에 좋다.",0
319,"삼계탕","동충하초","피로회복에 좋다.",0
320,"삼계탕","밤","어지름증, 손발저림에 좋다.",0
321,"삼계탕","은행","어지름증, 손발저림에 좋다.",0
322,"삼계탕","해삼","기력회복에 좋다.",0
323,"계란(달걀)","피망","계란(달걀)에 부족한 비타민 C를 피망이 채워준다.",0
324,"계란(달걀)","시금치","달걀이 헤모글로빈 합성에 필요한 단백질을 보충해준다.",0
325,"계란(달걀)","식초","기미나 검버섯 등을 없애주는 효과가 있다.",0
326,"계란(달걀)","청주","과로에 의한 감기 치료에 효과적이다.",0
327,"계란(달걀)","구기자","눈의 충혈이나 피로 완화 효과가 크게 상승한다.",0
328,"돼지고기","배추","소양인에게 좋다.",0
329,"돼지고기","생굴","소양인에게 좋다.",0
330,"돼지고기","녹두","부족한 필수아미노산을 보완해준다.",0
331,"돼지고기","호박","단백질과 비타민 A의 섭취가 좋아진다.",0
332,"돼지고기","새우젓","새우가 돼지고기의 단백질 소화력을 올려준다",0
333,"돼지고기","칡","신경통에 효험이 있다.",0
334,"돼지고기","참외","참외 먹고 체했을 때 돼지고기 태운 가루가 좋다.",0
335,"돼지고기","표고버섯","버섯의 섬유질이 고기의 콜레스테롤 체내흡수를 막아주고 고기 누린내도 없앤다.",0
336,"돼지염통","인삼","인삼 특유의 성분이 돼지고기의 누린내를 없애준다. 또한 인삼은 콜레스테롤을 낮추고 식이섬유가 있고 미네랄이 풍부해 돼지고기의 부족한 부분을 보완해주기 때문에 인삼과 돼지고기의 만남은 옳다.",0
337,"돼지염통","당귀","심계항진 등을 치료한다.",0
338,"쇠고기(소고기)","팽이버섯","체액의 균형을 조절해주고 체내 독소를 배출해주고 피부에 윤기를 준다.",0
339,"쇠고기(소고기)","들깻잎","고기를 많이 먹었을 때 생기기 쉬운 변비를 예방해준다.",0
